제안데이터명,필드순서,필드명,한글명,역할,자료형,형식_코드규칙,필수여부,도입단계,제안근거,보호_품질주의
연령대·채널·인증방법별 홈페이지 인증현황,12,alimtalk_sent_count,인증알림톡발송건수,측정값,정수,0 이상,필수,2단계,담당자 알림톡 발송 제안,전화번호·메시지 내용 공개 금지
연령대·채널·인증방법별 홈페이지 인증현황,13,suppression_status,소수셀처리상태,품질,범주,공개|억제|상위범주통합,필수,2단계,재식별 위험 관리,기준 미만 셀·보완억제 표시
연령대·채널·인증방법별 홈페이지 인증현황,14,aggregation_version,집계기준버전,품질,문자열,예: v1.0 형식,필수,2단계,산식 변경 추적,버전별 수정이력 연결
연령대·채널·서비스유형별 디지털 업무처리현황,1,base_ym,기준연월,차원,문자열,YYYY-MM,필수,3단계,월별 처리흐름,월 단위 공개
연령대·채널·서비스유형별 디지털 업무처리현황,2,user_group,이용자구분,차원,범주,재직자|수급자|기타·미분류,필수,3단계,집단별 완료 차이,개인·기관 식별값 금지
연령대·채널·서비스유형별 디지털 업무처리현황,3,age_band,연령대,차원,범주,40세미만|40대|50대|60대|70대|80세이상|미상,필수,3단계,연령대별 완료 분석,희소범주 통합
연령대·채널·서비스유형별 디지털 업무처리현황,4,access_channel,접속채널,차원,범주,PC웹|모바일웹|앱|기타·미상,필수,3단계,채널별 완료 분석,기기식별값 금지
연령대·채널·서비스유형별 디지털 업무처리현황,5,service_type,서비스유형,차원,범주,공단 현행 업무코드의 공개용 상위범주; 기존 인터넷 접수 7종과 매핑,필수,3단계,업무별 완료·이탈,희소서비스 상위범주 통합
연령대·채널·서비스유형별 디지털 업무처리현황,6,task_start_count,업무시작건수,측정값,정수,0 이상,필수,3단계,완료·이탈률 분모,업무시작 이벤트 정의 명시
연령대·채널·서비스유형별 디지털 업무처리현황,7,task_complete_count,업무완료건수,측정값,정수,0 이상,필수,3단계,업무완료율,완료+이탈+기타 종료 검증
연령대·채널·서비스유형별 디지털 업무처리현황,8,task_abandon_count,중도이탈건수,측정값,정수,0 이상,필수,3단계,중도이탈률,타임아웃 기준 명시
연령대·채널·서비스유형별 디지털 업무처리현황,9,consult_transfer_count,상담전환건수,측정값,정수,0 이상,필수,3단계,디지털→상담 전환율,내부 집계키만 사용; 공개키 금지
연령대·채널·서비스유형별 디지털 업무처리현황,10,repeat_consult_count,반복상담건수,측정값,정수,0 이상,권장,3단계,반복문의 관리,반복 기준기간 명시; 공개키 금지
연령대·채널·서비스유형별 디지털 업무처리현황,11,suppression_status,소수셀처리상태,품질,범주,공개|억제|상위범주통합,필수,3단계,재식별 위험 관리,기준 미만 셀·보완억제 표시
연령대·채널·서비스유형별 디지털 업무처리현황,12,aggregation_version,집계기준버전,품질,문자열,예: v1.0 형식,필수,3단계,산식 변경 추적,수정이력 연결
연령대·채널·인증방법별 인증실패사유 현황,1,base_ym,기준연월,차원,문자열,YYYY-MM,필수,3단계,실패사유 월별 변화,월 단위 공개
연령대·채널·인증방법별 인증실패사유 현황,2,user_group,이용자구분,차원,범주,재직자|수급자|기타·미분류,필수,3단계,집단별 실패사유,개인식별값 금지
연령대·채널·인증방법별 인증실패사유 현황,3,age_band,연령대,차원,범주,40세미만|40대|50대|60대|70대|80세이상|미상,필수,3단계,연령대별 실패사유,희소범주 통합
연령대·채널·인증방법별 인증실패사유 현황,4,access_channel,접속채널,차원,범주,PC웹|모바일웹|앱|기타·미상,필수,3단계,채널별 실패사유,기기식별값 금지
연령대·채널·인증방법별 인증실패사유 현황,5,auth_method,인증방법,차원,범주,간편인증|금융인증서|공동인증서|ID·비밀번호|기타·미상,필수,3단계,방법별 실패사유,인증서 식별값 금지
연령대·채널·인증방법별 인증실패사유 현황,6,failure_reason,실패사유범주,차원,범주,자격정보불일치|비밀번호불일치|사용자취소|시간초과|시스템·통신오류|기타·미상,필수,3단계,개선대상 식별,원문 오류메시지·자유서술 공개 금지
연령대·채널·인증방법별 인증실패사유 현황,7,auth_failure_count,인증실패건수,측정값,정수,0 이상,필수,3단계,실패사유 비중,인증현황 파일 실패합과 교차검증
연령대·채널·인증방법별 인증실패사유 현황,8,suppression_status,소수셀처리상태,품질,범주,공개|억제|상위범주통합,필수,3단계,재식별 위험 관리,기준 미만 셀·보완억제 표시
연령대·채널·인증방법별 인증실패사유 현황,9,aggregation_version,집계기준버전,품질,문자열,예: v1.0 형식,필수,3단계,산식 변경 추적,수정이력 연결
